細分類,細分類名
321601,リビング
321603,生活雑貨
321605,身辺雑貨
321607,フーズ
321609,パーティー
321611,レジャー用品
321613,ステーショナリー
321697,その他ファンシー
321701,ぬいぐるみ
321703,キャラクターぬいぐるみ
321705,アクションぬいぐるみ
321797,その他ぬいぐるみ
321801,プラモデル（陸）
321803,プラモデル（海）
321805,プラモデル（空）
321807,プラモデルキャラクター
321897,その他プラモデル
321901,電動ラジオコントロール
321903,エンジンラジオコントロール
321905,ラジオコントロール用品
321997,その他ラジオコントロール
322001,Ｎゲージ
322003,その他のゲージ
322005,鉄道模型用品
322097,その他鉄道模型
322101,シューティングガン
322103,モデルガン
322105,ガン用品
322197,その他ガン
322201,クラフトホビー
322203,アダルトホビー
322297,その他クラフト・アダルトホビー
322301,ホビー関連用品
322397,その他ホビー関連用品
322401,和人形
322403,洋人形
322405,アンティック人形
322497,その他ギフト人形
322501,正月人形
322503,三月人形
322505,五月人形
322507,その他人形
322509,正月用品
322511,水物ビニール用品
322513,その他夏物用品
322515,縁日物玩具
322517,クリスマス用品
322597,その他季節用品
322601,幼児向け花火
322603,ヤング向け花火
322697,その他花火
322701,小物玩具
322703,紙製玩具
322797,その他小物玩具
322801,トイスポーツ
322803,ジュニアトイスポーツ
322897,その他スポーツ
322901,乗物
322903,ベビーカー
322905,遊具
322997,その他乗物
329797,その他
339797,一般書籍
340101,ピアノ
340103,ハープシコード、鍵盤弦楽器
340105,ハープ
340197,ピアノその他けん（鍵）盤楽器一般
340201,パイプオルガン
340203,リードオルガン
340205,ハーモニカ
340207,けん盤ハーモニカ
340209,アコーディオン
340211,パンパイプ
340297,リード楽器一般
340301,金管楽器
340303,木管楽器
340397,管楽器一般
340401,バイオリン
340403,ビオラ
340405,チェロ
340407,ダブルベース
340409,マンドリン
340411,アコースティックギター
340413,ウクレレ
340415,バンジョー
340497,弦楽器一般
340501,太鼓
340503,ティンパニー
340505,立奏木琴
340507,鉄琴
340509,チューブラーベル
340511,ゴング
340513,シンバル
340515,タンブリン
340597,打楽器一般
340601,電子楽器
340603,電気楽器
340697,電子楽器・電気楽器一般
340701,弦楽器
340703,管楽器
340705,打楽器
