command,data_set,real,user,sys,user_sys
xtsort,900_rand,27.889,10.264,1.991,12.255
msortf,1000_rand,28.15,22.362,2.311,24.673
xtsort,1000_rand,31.116,11.461,2.339,13.8
msortf,100_100,1.463,1.906,0.202,2.108
xtsort,100_100,1.2,0.952,0.111,1.063
msortf,200_100,3.677,4.097,0.497,4.594
xtsort,200_100,3.294,2.192,0.395,2.587
msortf,300_100,6.229,6.183,0.663,6.846
xtsort,300_100,5.129,3.288,0.578,3.866
msortf,400_100,6.701,8.273,0.832,9.105
xtsort,400_100,6.631,4.414,0.785,5.199
msortf,500_100,8.908,10.499,1.047,11.546
xtsort,500_100,9.48,5.567,0.986,6.553
msortf,600_100,9.599,12.611,1.186,13.797
xtsort,600_100,11.143,6.695,1.211,7.906
msortf,700_100,11.898,14.814,1.367,16.181
xtsort,700_100,17.982,8.027,1.488,9.515
msortf,800_100,12.29,16.889,1.589,18.478
xtsort,800_100,22.173,9.138,1.906,11.044
msortf,900_100,13.523,19.093,1.729,20.822
xtsort,900_100,26.559,10.282,2.074,12.356
msortf,1000_100,33.795,21.494,2.402,23.896
xtsort,1000_100,30.946,11.658,2.186,13.844
msortf,100_rand,1.287,1.929,0.21,2.139
xtsort,100_rand,1.094,0.938,0.109,1.047
msortf,200_rand,3.441,4.276,0.468,4.744
xtsort,200_rand,3.214,2.149,0.388,2.537
msortf,300_rand,4.567,6.458,0.65,7.108
xtsort,300_rand,4.926,3.29,0.595,3.885
msortf,400_rand,7.132,8.71,0.85,9.56
xtsort,400_rand,7.017,4.391,0.781,5.172
msortf,500_rand,7.866,10.92,1,11.92
xtsort,500_rand,8.096,5.495,0.973,6.468
msortf,600_rand,9.672,13.33,1.215,14.545
xtsort,600_rand,10.103,6.69,1.223,7.913
msortf,700_rand,10.534,15.551,1.36,16.911
xtsort,700_rand,14.153,7.808,1.454,9.262
msortf,800_rand,12.88,17.961,1.537,19.498
xtsort,800_rand,21.39,9.035,1.708,10.743
msortf,900_rand,24.759,20.321,2.068,22.389
xtsort,900_rand,24.451,10.189,1.92,12.109
msortf,1000_rand,25.737,22.374,2.246,24.62
xtsort,1000_rand,32.205,11.498,2.307,13.805
msortf,100_100,1.501,1.854,0.219,2.073
xtsort,100_100,1.196,0.952,0.112,1.064
msortf,200_100,4.223,4.083,0.479,4.562
xtsort,200_100,6.666,2.205,0.418,2.623
msortf,300_100,5.851,6.195,0.674,6.869
xtsort,300_100,6.137,3.295,0.591,3.886
msortf,400_100,6.286,8.329,0.828,9.157
xtsort,400_100,6.403,4.409,0.764,5.173
msortf,500_100,8.009,10.494,1.017,11.511
xtsort,500_100,8.906,5.563,0.968,6.531
msortf,600_100,10.43,12.597,1.24,13.837
xtsort,600_100,10.017,6.685,1.204,7.889
msortf,700_100,11.959,14.866,1.355,16.221
xtsort,700_100,20.908,8.017,1.631,9.648
msortf,800_100,12.173,16.924,1.561,18.485
xtsort,800_100,19.387,9.149,1.741,10.89
msortf,900_100,21.259,19.161,2.035,21.196
xtsort,900_100,27.814,10.428,2.138,12.566
msortf,1000_100,32.256,21.414,2.444,23.858
xtsort,1000_100,30.498,11.718,2.174,13.892
